"Client Name","Invoice Number","Inc Tax Amount","Tax Amount","Ex Tax Amount","Employee","Description","Work Date","Start Time","Finish Time","Break","Hours","TXN","VINCODE+"
"The Royal Alfred","","$210.00","$19.09","$190.91","Stafford Mastered","Alfred Health - Mar 2014","17/03/2014","12:00","19:30","0.5","7","","17/03/2014"
"The Royal Alfred","","$195.00","$17.73","$177.27","Stafford Mastered","Alfred Health - Mar 2014","21/03/2014","12:00","19:00","0.5","6.5","","21/03/2014"
"The Royal Alfred","","$332.50","$30.23","$302.27","Rachel Gibson","Alfred Health - Mar 2014","18/03/2014","12:00","22:00","0.5","9.5","","18/03/2014"
"The Royal Alfred","","$332.50","$30.23","$302.27","Rachel Gibson","Alfred Health - Mar 2014","21/03/2014","12:00","22:00","0.5","9.5","","21/03/2014"
"The Royal Alfred","","$382.50","$34.77","$347.73","Rachel Gibson","Alfred Health - Mar 2014","22/03/2014","12:00","22:00","0.5","9.5","","22/03/2014"
"The Royal Alfred","","$432.50","$39.32","$393.18","Rachel Gibson","Alfred Health - Mar 2014","23/03/2014","12:00","22:00","0.5","9.5","","23/03/2014"
"The Royal Alfred","","$332.50","$30.23","$302.27","Stafford Mastered","Alfred Health - Mar 2014","21/03/2014","12:00","22:00","0.5","9.5","","21/03/2014"
"The Royal Alfred","","$382.50","$34.77","$347.73","Stafford Mastered","Alfred Health - Mar 2014","22/03/2014","12:00","22:00","0.5","9.5","","22/03/2014"
"The Royal Alfred","","$332.50","$30.23","$302.27","Rachel Gibson","Alfred Health - Mar 2014","31/03/2014","12:00","22:00","0.5","9.5","","31/03/2014"
"The Royal Alfred","","$0.00","$0.00","$0.00","Stafford Mastered","Alfred Health - Mar 2014","31/03/2014","12:00","22:00","0.5","0","","31/03/2014"
